from,to,type,weight
s01,s02,1,1
s01,s04,1,1
s01,s06,1,1
s01,s11,1,1
s01,s13,1,1
s01,s14,1,1
s01,s15,1,1
s01,s18,1,1
s01,s20,1,1
s01,s22,1,1
s01,s25,1,1
s01,s29,1,1
s02,s03,1,1
s02,s04,1,1
s02,s06,1,1
s02,s09,1,1
s02,s11,1,1
s02,s13,1,1
s02,s14,1,1
s02,s19,1,1
s02,s20,1,1
s02,s21,1,1
s02,s23,1,1
s02,s29,1,1
s03,s06,1,1
s03,s09,1,1
s03,s10,1,1
s03,s11,1,1
s03,s14,1,1
s03,s15,1,1
s03,s18,1,1
s03,s19,1,1
s03,s20,1,1
s03,s21,1,1
s03,s24,1,1
s03,s27,1,1
s04,s08,1,1
s04,s11,1,1
s04,s12,1,1
s04,s13,1,1
s04,s14,1,1
s04,s15,1,1
s04,s17,1,1
s04,s19,1,1
s04,s20,1,1
s04,s21,1,1
s04,s22,1,1
s04,s23,1,1
s04,s25,1,1
s04,s26,1,1
s04,s27,1,1
s04,s29,1,1
s04,s31,1,1
s05,s08,1,1
s05,s13,1,1
s05,s14,1,1
s05,s16,1,1
s05,s17,1,1
s05,s27,1,1
s05,s29,1,1
s05,s30,1,1
s05,s31,1,1
s06,s09,1,1
s06,s11,1,1
s06,s13,1,1
s06,s14,1,1
s06,s15,1,1
s06,s16,1,1
s06,s17,1,1
s06,s18,1,1
s06,s20,1,1
s06,s21,1,1
s06,s24,1,1
s07,s13,1,1
s07,s25,1,1
s07,s30,1,1
s08,s11,1,1
s08,s14,1,1
s08,s15,1,1
s08,s17,1,1
s08,s20,1,1
s08,s21,1,1
s08,s27,1,1
s08,s28,1,1
s08,s31,1,1
s09,s10,1,1
s09,s11,1,1
s09,s18,1,1
s09,s20,1,1
s09,s22,1,1
s09,s23,1,1
s10,s18,1,1
s10,s23,1,1
s10,s26,1,1
s11,s12,1,1
s11,s13,1,1
s11,s14,1,1
s11,s15,1,1
s11,s16,1,1
s11,s18,1,1
s11,s19,1,1
s11,s20,1,1
s11,s21,1,1
s11,s22,1,1
s11,s23,1,1
s11,s24,1,1
s11,s25,1,1
s11,s26,1,1
s11,s31,1,1
s12,s13,1,1
s12,s14,1,1
s12,s16,1,1
s12,s18,1,1
s12,s20,1,1
s12,s21,1,1
s12,s22,1,1
s12,s23,1,1
s12,s26,1,1
s12,s31,1,1
s13,s14,1,1
s13,s15,1,1
s13,s17,1,1
s13,s18,1,1
s13,s20,1,1
s13,s22,1,1
s13,s23,1,1
s13,s25,1,1
s13,s26,1,1
s13,s29,1,1
s13,s30,1,1
s14,s15,1,1
s14,s16,1,1
s14,s17,1,1
s14,s18,1,1
s14,s20,1,1
s14,s21,1,1
s14,s22,1,1
s14,s24,1,1
s14,s26,1,1
s14,s27,1,1
s14,s31,1,1
s15,s18,1,1
s15,s20,1,1
s15,s21,1,1
s15,s29,1,1
s15,s31,1,1
s16,s22,1,1
s16,s23,1,1
s16,s24,1,1
s17,s26,1,1
s18,s20,1,1
s18,s21,1,1
s18,s22,1,1
s18,s23,1,1
s18,s24,1,1
s18,s25,1,1
s18,s26,1,1
s19,s21,1,1
s20,s21,1,1
s20,s22,1,1
s20,s24,1,1
s20,s25,1,1
s20,s26,1,1
s20,s27,1,1
s20,s29,1,1
s21,s26,1,1
s21,s29,1,1
s21,s31,1,1
s22,s24,1,1
s22,s25,1,1
s22,s26,1,1
s23,s26,1,1
s23,s30,1,1
s24,s25,1,1
s24,s31,1,1
s26,s27,1,1
s26,s31,1,1
s27,s29,1,1
s27,s31,1,1
s28,s30,1,1
s28,s31,1,1
s29,s31,1,1
s01,s23,2,1
s01,s28,2,1
s01,s30,2,1
s01,s31,2,1
s02,s08,2,1
s02,s22,2,1
s02,s26,2,1
s02,s31,2,1
s03,s05,2,1
s03,s07,2,1
s03,s16,2,1
s03,s22,2,1
s04,s07,2,1
s04,s30,2,1
s05,s09,2,1
s05,s10,2,1
s05,s18,2,1
s05,s19,2,1
s05,s21,2,1
s05,s22,2,1
s05,s24,2,1
s05,s26,2,1
s06,s28,2,1
s06,s30,2,1
s07,s08,2,1
s07,s10,2,1
s07,s11,2,1
s07,s14,2,1
s07,s15,2,1
s07,s17,2,1
s07,s19,2,1
s07,s21,2,1
s07,s26,2,1
s07,s27,2,1
s07,s29,2,1
s07,s31,2,1
s08,s10,2,1
s08,s19,2,1
s08,s23,2,1
s09,s12,2,1
s09,s15,2,1
s09,s17,2,1
s09,s19,2,1
s09,s21,2,1
s09,s28,2,1
s09,s30,2,1
s09,s31,2,1
s10,s15,2,1
s10,s17,2,1
s10,s19,2,1
s10,s21,2,1
s10,s29,2,1
s10,s30,2,1
s11,s30,2,1
s13,s28,2,1
s14,s30,2,1
s15,s22,2,1
s15,s23,2,1
s16,s19,2,1
s16,s21,2,1
s17,s18,2,1
s17,s25,2,1
s17,s29,2,1
s18,s27,2,1
s18,s28,2,1
s18,s30,2,1
s19,s22,2,1
s19,s25,2,1
s19,s27,2,1
s19,s30,2,1
s20,s28,2,1
s21,s22,2,1
s21,s30,2,1
s22,s28,2,1
s22,s30,2,1
s23,s24,2,1
s23,s27,2,1
s26,s28,2,1
s26,s30,2,1
s27,s30,2,1
s28,s29,2,1
s29,s30,2,1
s30,s31,2,1
